admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,total_idps,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries,old_conflict_score
MMR013043,0,4,1,1,0,0,0,0.009372022075936518,0,0.051948051948051945,0,0,0.010752688172043019,0.028571428571428574,0,0.05194805194805195,0,0,0.012987012987012988,Yangon,Dagon,NA,NA,0.013825677719905482
MMR013044,0,14,4,8,4,0,4,0.04562952973160109,0,0.1818181818181818,0.08333333333333334,0.00740740740740741,0.08602150537634409,0.1142857142857143,0,0.18181818181818182,0.08333333333333333,0.007407407407407408,0.06813973063973064,Yangon,Bahan,NA,NA,0.06829674847242807
MMR014001,0,18,17,48,14,2724,15,0.16605585168794637,0,0.23376623376623376,0.2916666666666667,0.027777777777777776,0.5161290322580646,0.4857142857142857,0,0.23376623376623376,0.2916666666666667,0.027777777777777776,0.13830266955266957,Shan-South,Taunggyi,2,1053,0.23209219116725455
MMR014002,0,0,0,4,5,4428,6,0.02533893590026541,0,0,0.10416666666666666,0.011111111111111112,0.043010752688172046,0,0,0,0.10416666666666667,0.011111111111111112,0.028819444444444446,Shan-South,Nyaungshwe,NA,NA,0.019434826660238606
MMR014003,0,0,0,4,0,0,0,0.002992671523196069,0,0,0,0,0.043010752688172046,0,0,0,0,0,0,Shan-South,Hopong,1,870,0.004790880759903989
MMR014004,0,1,0,5,0,6274,0,0.023418439351050445,0,0.012987012987012991,0,0,0.05376344086021506,0,0,0.012987012987012988,0,0,0.003246753246753247,Shan-South,Hsihseng,2,1194,0.00759683621877579
MMR014005,1,3,4,16,5,350,14,0.04657356325853959,0.006535947712418299,0.03896103896103897,0.10416666666666666,0.025925925925925925,0.17204301075268819,0.1142857142857143,0.006535947712418301,0.03896103896103896,0.10416666666666667,0.025925925925925925,0.04389739481651247,Shan-South,Kalaw,2,601,0.06786535270217313
MMR014006,0,0,1,1,0,508,0,0.006900576702570399,0,0,0,0,0.010752688172043019,0.028571428571428574,0,0,0,0,0,Shan-South,Pindaya,1,2260,0.0073927366443222705
MMR014007,0,0,0,3,5,0,4,0.010935155254009711,0,0,0.10416666666666666,0.00740740740740741,0.03225806451612904,0,0,0,0.10416666666666667,0.007407407407407408,0.02789351851851852,Shan-South,Ywangan,1,2586,0.017498283096327782
MMR014008,2,0,0,3,0,142,1,0.004841297927332074,0.013071895424836598,0,0,0.0018518518518518506,0.03225806451612904,0,0.013071895424836602,0,0,0.001851851851851852,0.0037309368191721136,Shan-South,Lawksawk,NA,NA,0.006958209541716876
MMR014009,3,1,0,3,0,8925,34,0.04072586911473959,0.019607843137254898,0.012987012987012991,0,0.06296296296296296,0.03225806451612904,0,0.0196078431372549,0.012987012987012988,0,0.06296296296296296,0.023889454771807712,Shan-South,Pinlaung,1,2364,0.022254849122948124
MMR014010,42,20,2,26,23,26432,186,0.2474906431050068,0.27450980392156854,0.2597402597402597,0.47916666666666674,0.3444444444444445,0.2795698924731183,0.05714285714285715,0.27450980392156865,0.2597402597402597,0.4791666666666667,0.34444444444444444,0.33946529369323486,Shan-South,Pekon,3,3567,0.2644808085644133
MMR014011,0,1,2,2,0,231,0,0.012459741509731552,0,0.012987012987012991,0,0,0.021505376344086023,0.05714285714285715,0,0.012987012987012988,0,0,0.003246753246753247,Shan-South,Loilen,1,116,0.016393708557540344
MMR014013,4,0,0,3,0,0,3,0.006827806573111802,0.026143790849673196,0,0,0.00555555555555556,0.03225806451612904,0,0.026143790849673203,0,0,0.005555555555555556,0.00792483660130719,Shan-South,Nansang,2,839,0.010692670200473178
MMR014014,0,0,0,1,1,239,0,0.003009662617511527,0,0,0.020833333333333336,0,0.010752688172043019,0,0,0,0.020833333333333332,0,0.005208333333333333,Shan-South,Kunhing,NA,NA,0.003683215345682024
MMR014015,23,1,0,5,0,40,1,0.027385385350777006,0.15032679738562088,0.012987012987012991,0,0.0018518518518518506,0.05376344086021506,0,0.1503267973856209,0.012987012987012988,0,0.001851851851851852,0.04129141555612144,Shan-South,Kyethi,NA,NA,0.042416076681190094
